Date,Open,High,Low,Close,Adj Close,Volume
2019-02-27,2.870000,2.990000,2.730000,2.900000,2.900000,121021000
2019-02-28,2.950000,2.970000,2.830000,2.960000,2.960000,57474600
2019-03-01,3.010000,3.220000,3.000000,3.130000,3.130000,81237400
2019-03-04,3.220000,3.320000,3.050000,3.190000,3.190000,76008600
2019-03-05,3.210000,3.220000,3.090000,3.140000,3.140000,44347800
2019-03-06,3.080000,3.100000,2.970000,2.980000,2.980000,47466000
2019-03-07,3.000000,3.040000,2.910000,2.970000,2.970000,48944500
2019-03-08,2.880000,2.880000,2.710000,2.730000,2.730000,54199200
2019-03-11,2.750000,2.790000,2.670000,2.750000,2.750000,39492800
2019-03-12,2.780000,2.930000,2.770000,2.880000,2.880000,35649000
2019-03-13,2.940000,3.030000,2.920000,3.020000,3.020000,33252300
2019-03-14,3.020000,3.120000,3.020000,3.100000,3.100000,40196400
2019-03-15,3.070000,3.100000,2.960000,2.970000,2.970000,47727900
2019-03-18,3.020000,3.170000,3.010000,3.150000,3.150000,35845500
2019-03-19,3.230000,3.380000,3.130000,3.160000,3.160000,58846300
2019-03-20,3.120000,3.350000,3.100000,3.260000,3.260000,61831000
2019-03-21,3.250000,3.320000,3.200000,3.250000,3.250000,44582000
2019-03-22,3.190000,3.210000,3.030000,3.120000,3.120000,50533800
2019-03-25,3.100000,3.140000,2.990000,3.100000,3.100000,35505600
2019-03-26,3.200000,3.260000,3.160000,3.190000,3.190000,39421500
2019-03-27,3.190000,3.240000,3.070000,3.190000,3.190000,36326400
2019-03-28,3.120000,3.190000,3.090000,3.140000,3.140000,33186800
2019-03-29,3.190000,3.210000,3.090000,3.100000,3.100000,40531900
2019-04-01,3.150000,3.210000,3.120000,3.150000,3.150000,39268800
2019-04-02,3.160000,3.230000,3.150000,3.200000,3.200000,42974400
2019-04-03,3.210000,3.230000,3.100000,3.140000,3.140000,45774300
2019-04-04,3.140000,3.210000,3.120000,3.210000,3.210000,29763000
2019-04-05,3.210000,3.460000,3.200000,3.410000,3.410000,64682500
2019-04-08,3.460000,3.570000,3.380000,3.440000,3.440000,52563100
2019-04-09,3.430000,3.430000,3.310000,3.340000,3.340000,47275100
2019-04-10,3.360000,3.440000,3.330000,3.400000,3.400000,36078400
2019-04-11,3.360000,3.430000,3.270000,3.330000,3.330000,40177800
2019-04-12,3.380000,3.400000,3.150000,3.170000,3.170000,74987700
2019-04-15,3.140000,3.150000,3.060000,3.070000,3.070000,37482700
2019-04-16,3.090000,3.120000,3.050000,3.090000,3.090000,29187000
2019-04-17,3.130000,3.150000,3.060000,3.060000,3.060000,27986300
2019-04-18,3.080000,3.080000,2.900000,2.910000,2.910000,42521500
2019-04-22,3.020000,3.120000,2.980000,3.100000,3.100000,33234300
2019-04-23,3.120000,3.200000,3.090000,3.170000,3.170000,34987300
2019-04-24,3.170000,3.180000,3.050000,3.070000,3.070000,31807000
2019-04-25,3.070000,3.080000,2.940000,2.940000,2.940000,31047900
2019-04-26,2.900000,3.010000,2.870000,2.970000,2.970000,47835900
2019-04-29,2.980000,3.010000,2.930000,2.950000,2.950000,19743200
2019-04-30,2.990000,2.990000,2.860000,2.910000,2.910000,41406900
2019-05-01,2.900000,2.910000,2.800000,2.830000,2.830000,43598800
2019-05-02,2.780000,2.870000,2.700000,2.730000,2.730000,53345600
2019-05-03,2.760000,2.870000,2.740000,2.820000,2.820000,29503100
2019-05-06,2.730000,2.900000,2.730000,2.890000,2.890000,46177100
2019-05-07,2.840000,2.860000,2.730000,2.780000,2.780000,62143700
2019-05-08,2.680000,2.940000,2.680000,2.890000,2.890000,69736100
2019-05-09,2.820000,2.830000,2.610000,2.680000,2.680000,77625900
2019-05-10,2.670000,2.680000,2.530000,2.610000,2.610000,55222000
2019-05-13,2.530000,2.550000,2.320000,2.400000,2.400000,68601700
2019-05-14,2.450000,2.560000,2.420000,2.560000,2.560000,40551900
2019-05-15,2.480000,2.510000,2.430000,2.500000,2.500000,33744700
2019-05-16,2.550000,2.600000,2.500000,2.530000,2.530000,45068000
2019-05-17,2.470000,2.500000,2.390000,2.410000,2.410000,42292600
2019-05-20,2.400000,2.410000,2.270000,2.300000,2.300000,41891200
2019-05-21,2.320000,2.400000,2.290000,2.380000,2.380000,30723600
2019-05-22,2.330000,2.340000,2.190000,2.190000,2.190000,39691100
2019-05-23,2.080000,2.090000,1.970000,2.060000,2.060000,51865200
2019-05-24,2.130000,2.130000,2.000000,2.010000,2.010000,36347300
2019-05-28,2.010000,2.030000,1.910000,1.940000,1.940000,45351300
2019-05-29,1.900000,2.160000,1.900000,2.140000,2.140000,67439500
2019-05-30,2.120000,2.140000,1.990000,2.040000,2.040000,42451500
2019-05-31,1.950000,1.980000,1.900000,1.920000,1.920000,39607200
2019-06-03,1.940000,1.990000,1.920000,1.960000,1.960000,39152400
2019-06-04,1.990000,2.080000,1.990000,2.010000,2.010000,48847600
2019-06-05,2.020000,2.030000,1.850000,1.880000,1.880000,46213400
2019-06-06,1.900000,1.920000,1.830000,1.910000,1.910000,41574700
2019-06-07,1.890000,1.970000,1.860000,1.890000,1.890000,36415800
2019-06-10,1.920000,1.990000,1.880000,1.890000,1.890000,34574500
2019-06-11,1.920000,1.960000,1.890000,1.900000,1.900000,24540100
2019-06-12,1.880000,1.890000,1.750000,1.760000,1.760000,60974800
2019-06-13,1.830000,1.860000,1.750000,1.830000,1.830000,55318100
2019-06-14,1.820000,1.820000,1.750000,1.770000,1.770000,45055000
2019-06-17,1.750000,1.850000,1.730000,1.830000,1.830000,41502800
2019-06-18,1.830000,1.940000,1.820000,1.900000,1.900000,45442400
2019-06-19,1.900000,1.910000,1.820000,1.830000,1.830000,37838500
2019-06-20,1.920000,2.000000,1.890000,1.980000,1.980000,86942400
2019-06-21,2.010000,2.030000,1.890000,1.950000,1.950000,70901900
2019-06-24,1.970000,1.990000,1.870000,1.910000,1.910000,41974600
